Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
39999.975622,521.191368,-80.425845,-15151.000000,-11010.000000,18728.932191
40009.974897,520.939086,-80.418332,-15155.000000,-11017.000000,18736.283356
40019.974172,520.444585,-80.386623,-15157.000000,-11027.000000,18743.782382
40029.973447,520.734168,-80.440426,-15157.000000,-11018.000000,18738.489080
40039.972723,520.870631,-80.417605,-15154.000000,-11024.000000,18739.591564
40049.971998,520.567499,-80.420952,-15160.000000,-11027.000000,18746.208390
40059.971273,520.642141,-80.428493,-15158.000000,-11031.000000,18746.944418
40069.970548,520.601887,-80.430916,-15159.000000,-11035.000000,18750.106826
40079.969823,520.576775,-80.418609,-15158.000000,-11035.000000,18749.298360
40089.969099,520.406508,-80.433630,-15163.000000,-11040.000000,18756.283454
40099.968374,520.659942,-80.429084,-15162.000000,-11039.000000,18754.886430
40109.967649,519.977452,-80.428245,-15171.000000,-11048.000000,18767.459738
40119.966924,520.102430,-80.440095,-15169.000000,-11046.000000,18764.665651
40129.966199,519.990210,-80.475335,-15174.000000,-11046.000000,18768.707787
40139.965475,519.912100,-80.441660,-15172.000000,-11055.000000,18772.389539
40149.964750,519.705649,-80.417485,-15174.000000,-11062.000000,18778.128767
40159.964025,519.790310,-80.447864,-15172.000000,-11061.000000,18775.923546
40169.963300,519.574456,-80.449290,-15177.000000,-11063.000000,18781.142085
40179.962575,519.576127,-80.440243,-15179.000000,-11066.000000,18784.525466
40189.961851,519.620779,-80.449776,-15177.000000,-11066.000000,18782.909386
40199.961126,519.442395,-80.454982,-15181.000000,-11070.000000,18788.498104
40209.960401,519.444417,-80.436770,-15179.000000,-11077.000000,18791.007690
40219.959676,519.216535,-80.462816,-15185.000000,-11074.000000,18794.086863
40229.958951,519.316837,-80.421004,-15180.000000,-11082.000000,18794.763207
40239.958227,519.022031,-80.484880,-15194.000000,-11078.000000,18803.715590
40249.957502,518.985619,-80.446700,-15188.000000,-11087.000000,18804.172755
40259.956777,519.080654,-80.483793,-15187.000000,-11084.000000,18801.596342
40269.956052,518.779829,-80.503146,-15191.000000,-11078.000000,18801.291578
40279.955328,518.912069,-80.571563,-15207.000000,-11064.000000,18805.981628
40289.954603,518.881840,-80.631292,-15221.000000,-11051.000000,18809.663527
40299.953878,517.119345,-80.415685,-15225.000000,-11147.000000,18869.452403
40309.953153,517.092967,-80.219016,-15189.000000,-11202.000000,18873.010491
40319.952428,516.858954,-80.242501,-15196.000000,-11204.000000,18879.831355
40329.951704,517.825295,-80.244240,-15175.000000,-11176.000000,18846.315316
40339.950979,519.923434,-80.640387,-15185.000000,-11035.000000,18771.133423
40349.950254,519.266758,-80.581294,-15189.000000,-11064.000000,18791.429350
40359.949529,518.762545,-80.712224,-15230.000000,-11046.000000,18814.011162
40369.948804,517.435518,-80.501492,-15226.000000,-11132.000000,18861.402387
40379.948080,517.298683,-80.460891,-15218.000000,-11147.000000,18863.804839
40389.947355,517.270040,-80.478975,-15223.000000,-11139.000000,18863.113476
40399.946630,517.522688,-80.500408,-15221.000000,-11132.000000,18857.366333
40409.945905,517.506487,-80.497955,-15221.000000,-11133.000000,18857.956676
40419.945180,517.218188,-80.531207,-15228.000000,-11131.000000,18862.426806
40429.944456,517.129233,-80.516339,-15229.000000,-11141.000000,18869.136758
40439.943731,517.104708,-80.498154,-15230.000000,-11147.000000,18873.486933
40449.943006,517.086745,-80.533958,-15227.000000,-11142.000000,18868.113128
40459.942281,516.971006,-80.535126,-15230.000000,-11148.000000,18874.077567
40469.941556,516.618485,-80.529373,-15238.000000,-11153.000000,18883.486251
40479.940832,516.697636,-80.547903,-15238.000000,-11154.000000,18884.076890
40489.940107,516.693654,-80.543098,-15241.000000,-11156.000000,18887.678973
40499.939382,516.591619,-80.536515,-15237.000000,-11159.000000,18886.223815
40509.938657,516.668801,-80.518797,-15237.000000,-11163.000000,18888.587507
40519.937932,516.280212,-80.526452,-15242.000000,-11170.000000,18896.758029
40529.937208,516.241674,-80.550940,-15246.000000,-11164.000000,18896.439135
40539.936483,515.918906,-80.587625,-15256.000000,-11166.000000,18905.689408
40549.935758,516.180594,-80.555427,-15249.000000,-11174.000000,18904.768631
