Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
14999.975234,49117.118551,-89.162538,-4280.000000,-765.000000,4347.829918
15009.974509,48825.606452,-89.115264,-4302.000000,-775.000000,4371.250279
15019.973785,49020.472213,-89.063610,-4290.000000,-773.000000,4359.085799
15029.973060,48808.341073,-89.145158,-4302.000000,-773.000000,4370.896132
15039.972335,48763.450150,-89.154522,-4308.000000,-774.000000,4376.978410
15049.971610,48648.500598,-89.138790,-4317.000000,-777.000000,4386.367290
15059.970886,48722.972221,-89.189353,-4313.000000,-773.000000,4381.723177
15069.970161,48701.091511,-89.193965,-4315.000000,-773.000000,4383.691823
15079.969436,48739.671876,-89.157540,-4312.000000,-779.000000,4381.801570
15089.968711,48607.488535,-89.238195,-4320.000000,-774.000000,4388.789810
15099.967986,48677.187594,-89.184631,-4316.000000,-776.000000,4385.206038
15109.967262,48628.092958,-89.154411,-4318.000000,-780.000000,4387.883772
15119.966537,48481.560265,-89.079963,-4331.000000,-788.000000,4402.102339
15129.965812,48389.289100,-89.281993,-4340.000000,-780.000000,4409.535123
15139.965087,48462.385771,-89.243362,-4334.000000,-774.000000,4402.571067
15149.964362,48405.613861,-89.016981,-4335.000000,-793.000000,4406.934762
15159.963638,48572.445129,-89.231482,-4323.000000,-777.000000,4392.272533
15169.962913,48342.896322,-89.122035,-4343.000000,-789.000000,4414.087675
15179.962188,48263.787507,-89.257413,-4351.000000,-780.000000,4420.362089
15189.961463,48232.065947,-89.197347,-4353.000000,-788.000000,4423.748750
15199.960738,48083.352625,-89.163232,-4365.000000,-794.000000,4436.627210
15209.960014,48276.266036,-88.977096,-4345.000000,-803.000000,4418.578278
15219.959289,48244.239590,-89.129039,-4350.000000,-792.000000,4421.511506
15229.958564,48275.017993,-89.188110,-4349.000000,-788.000000,4419.812779
15239.957839,48092.290984,-89.147974,-4363.000000,-795.000000,4434.838667
15249.957114,48073.685276,-89.243131,-4365.000000,-790.000000,4435.913097
15259.956390,47986.773017,-89.105361,-4372.000000,-800.000000,4444.590420
15269.955665,48014.458499,-89.216297,-4370.000000,-794.000000,4441.546577
15279.954940,47979.642886,-89.276246,-4374.000000,-790.000000,4444.769510
15289.954215,47981.755270,-89.288731,-4373.000000,-789.000000,4443.607768
15299.953490,47873.872009,-89.155503,-4382.000000,-800.000000,4454.427460
15309.952766,47971.347800,-89.147573,-4373.000000,-798.000000,4445.214618
15319.952041,47793.971161,-89.133169,-4388.000000,-805.000000,4461.229539
15329.951316,47767.244564,-89.099693,-4389.000000,-808.000000,4462.755315
15339.950591,47735.342800,-89.250338,-4396.000000,-798.000000,4467.842880
15349.949867,47718.664406,-89.215037,-4399.000000,-802.000000,4471.510371
15359.949142,47700.494787,-89.230828,-4394.000000,-801.000000,4466.412095
15369.948417,47540.124903,-89.032758,-4409.000000,-818.000000,4484.239623
15379.947692,47561.844857,-89.391709,-4413.000000,-791.000000,4483.330235
15389.946967,47577.352593,-89.349407,-4410.000000,-793.000000,4480.730856
15399.946243,47552.499263,-89.185449,-4409.000000,-808.000000,4482.426240
15409.945518,47524.780815,-89.074661,-4410.000000,-817.000000,4485.040580
15419.944793,47420.132761,-89.305211,-4422.000000,-801.000000,4493.960948
15429.944068,47402.104594,-89.115327,-4423.000000,-815.000000,4497.460839
15439.943343,47376.518120,-89.158608,-4421.000000,-815.000000,4495.493966
15449.942619,47382.179138,-89.339051,-4425.000000,-801.000000,4496.912941
15459.941894,47370.087240,-89.329257,-4428.000000,-800.000000,4499.687100
15469.941169,47317.011132,-89.263036,-4432.000000,-809.000000,4505.230849
15479.940444,47298.592504,-88.931107,-4429.000000,-833.000000,4506.653969
15489.939719,47239.515170,-89.035722,-4440.000000,-828.000000,4516.545583
15499.938995,47179.611670,-89.202789,-4443.000000,-820.000000,4518.035967
15509.938270,47104.502426,-89.193962,-4450.000000,-819.000000,4524.738777
15519.937545,47142.256838,-88.953790,-4444.000000,-835.000000,4521.765253
15529.936820,47078.970621,-89.096692,-4451.000000,-828.000000,4527.359606
15539.936095,47092.878351,-89.260978,-4453.000000,-818.000000,4527.508476
15549.935371,47070.636122,-89.111249,-4451.000000,-827.000000,4527.176824
15559.934646,47017.647170,-89.252267,-4461.000000,-820.000000,4535.738198
15569.933921,46980.729353,-89.144621,-4461.000000,-826.000000,4536.826754
15579.933196,47010.180501,-89.202926,-4463.000000,-824.000000,4538.429795
15589.932472,46981.403412,-89.221534,-4462.000000,-823.000000,4537.264925
15599.931747,46872.313851,-88.990025,-4470.000000,-844.000000,4548.981864
15609.931022,46851.249953,-89.058767,-4472.000000,-840.000000,4550.207028
15619.930297,46845.083598,-89.085762,-4473.000000,-837.000000,4550.637098
15629.929572,46860.844506,-89.121025,-4474.000000,-835.000000,4551.252685
15639.928848,46751.992016,-89.093944,-4480.000000,-839.000000,4557.885584
15649.928123,46703.192086,-89.258232,-4484.000000,-831.000000,4560.352728
15659.927398,46801.356953,-89.006952,-4479.000000,-846.000000,4558.196683
15669.926673,46761.703675,-89.155983,-4482.000000,-833.000000,4558.751254
15679.925948,46622.724739,-88.996508,-4493.000000,-849.000000,4572.510251
15689.925224,46645.095056,-89.145048,-4495.000000,-840.000000,4572.813685
15699.924499,46527.603012,-89.120834,-4505.000000,-843.000000,4583.194737
15709.923774,46623.040187,-89.137472,-4497.000000,-842.000000,4575.147320
15719.923049,46502.311210,-89.228296,-4508.000000,-836.000000,4584.862048
15729.922324,46402.198318,-89.112165,-4517.000000,-849.000000,4596.095082
