Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
14999.975234,49970.907437,-89.030626,-905.000000,-163.000000,919.561852
15009.974509,49613.383190,-88.845129,-910.000000,-169.000000,925.559831
15019.973785,49256.975520,-88.604566,-913.000000,-174.000000,929.432623
15029.973060,49777.755012,-88.506024,-907.000000,-171.000000,922.978873
15039.972335,49782.108576,-88.880366,-908.000000,-166.000000,923.049294
15049.971610,49634.075897,-88.962213,-909.000000,-168.000000,924.394396
15059.970886,49555.660002,-88.859882,-913.000000,-169.000000,928.509558
15069.970161,49871.239459,-88.098371,-904.000000,-179.000000,921.551409
15079.969436,49399.644981,-88.889067,-915.000000,-170.000000,930.658369
15089.968711,49694.151494,-88.691335,-908.000000,-174.000000,924.521498
15099.967986,49944.554655,-88.520399,-903.000000,-173.000000,919.422645
15109.967262,49332.323004,-88.468530,-915.000000,-176.000000,931.773041
15119.966537,49297.743423,-88.909891,-916.000000,-170.000000,931.641562
15129.965812,49279.293886,-89.463427,-916.000000,-165.000000,930.742177
15139.965087,49625.634817,-88.595300,-910.000000,-172.000000,926.112304
15149.964362,49128.229238,-89.195664,-920.000000,-166.000000,934.856139
15159.963638,49371.451892,-89.018239,-914.000000,-168.000000,929.311573
15169.962913,49195.255711,-88.934792,-918.000000,-169.000000,933.426483
15179.962188,48892.130776,-89.365537,-923.000000,-165.000000,937.632124
15189.961463,48915.671941,-89.174231,-922.000000,-168.000000,937.180879
15199.960738,49037.847798,-88.592137,-918.000000,-175.000000,934.531433
15209.960014,49004.426286,-88.415724,-920.000000,-178.000000,937.061364
15219.959289,49098.304810,-89.322342,-919.000000,-165.000000,933.694811
15229.958564,48945.551559,-89.348039,-920.000000,-167.000000,935.034224
15239.957839,48765.557457,-89.204611,-923.000000,-168.000000,938.164698
15249.957114,48711.835439,-89.522799,-923.000000,-164.000000,937.456666
15259.956390,49038.432657,-88.583825,-916.000000,-177.000000,932.944264
15269.955665,48865.337031,-88.810954,-919.000000,-173.000000,935.141700
15279.954940,48436.551837,-89.462229,-931.000000,-164.000000,945.334332
15289.954215,48452.398068,-89.211759,-929.000000,-168.000000,944.068324
15299.953490,48412.390843,-89.281180,-929.000000,-167.000000,943.890884
15309.952766,48724.046841,-88.589703,-920.000000,-178.000000,937.061364
15319.952041,48579.492672,-88.996903,-924.000000,-171.000000,939.689842
15329.951316,48527.263858,-89.009340,-926.000000,-171.000000,941.656519
15339.950591,48021.244664,-89.421724,-935.000000,-168.000000,949.973158
15349.949867,48527.896169,-89.379581,-929.000000,-166.000000,943.714470
15359.949142,48190.556013,-89.201013,-933.000000,-172.000000,948.721772
15369.948417,48170.103238,-88.717217,-931.000000,-177.000000,947.676105
15379.947692,48163.768404,-89.021681,-932.000000,-175.000000,948.287404
15389.946967,48490.783399,-88.771805,-926.000000,-174.000000,942.205922
15399.946243,48226.995113,-88.762800,-930.000000,-178.000000,946.881196
15409.945518,48179.572813,-88.776625,-931.000000,-176.000000,947.489842
15419.944793,47900.827588,-88.960518,-936.000000,-174.000000,952.035714
15429.944068,48009.483986,-89.002396,-936.000000,-171.000000,951.491986
15439.943343,48315.101464,-88.989564,-929.000000,-174.000000,945.154485
15449.942619,48162.711322,-89.025451,-934.000000,-174.000000,950.069471
15459.941894,47649.678217,-89.319784,-942.000000,-170.000000,957.216799
15469.941169,47954.442162,-88.643258,-934.000000,-178.000000,950.810181
15479.940444,47762.609768,-89.051281,-938.000000,-173.000000,953.820214
15489.939719,47514.742360,-89.107593,-946.000000,-175.000000,962.050414
15499.938995,47318.292860,-89.450918,-947.000000,-169.000000,961.961538
15509.938270,47715.510227,-88.759053,-940.000000,-178.000000,956.704761
15519.937545,48138.027961,-88.541499,-933.000000,-181.000000,950.394655
15529.936820,47884.648063,-88.539686,-937.000000,-180.000000,954.132590
15539.936095,47656.066580,-88.710835,-941.000000,-180.000000,958.061063
15549.935371,47516.777231,-89.104998,-943.000000,-174.000000,958.918662
15559.934646,47878.501173,-88.173269,-935.000000,-185.000000,953.126434
15569.933921,47774.857674,-88.504469,-940.000000,-182.000000,957.457049
15579.933196,47212.103909,-89.415062,-952.000000,-171.000000,967.235752
15589.932472,47422.188196,-88.825190,-946.000000,-179.000000,962.786061
15599.931747,47436.883136,-88.584088,-947.000000,-180.000000,963.954874
15609.931022,47574.709421,-88.853937,-946.000000,-179.000000,962.786061
15619.930297,47191.331458,-88.938472,-951.000000,-177.000000,967.331381
15629.929572,47425.245415,-88.523597,-946.000000,-183.000000,963.537752
15639.928848,46843.019986,-88.897003,-958.000000,-176.000000,974.032854
15649.928123,47557.128947,-89.397621,-945.000000,-174.000000,960.885529
15659.927398,47375.508912,-88.536255,-948.000000,-184.000000,965.691462
15669.926673,47176.823306,-88.520102,-950.000000,-183.000000,967.465245
15679.925948,47020.981720,-88.795580,-953.000000,-180.000000,969.849988
15689.925224,47359.634215,-88.418430,-947.000000,-184.000000,964.709801
15699.924499,46862.263130,-88.714796,-958.000000,-181.000000,974.948717
15709.923774,47258.021224,-88.742969,-950.000000,-182.000000,967.276589
15719.923049,47166.499072,-88.766423,-953.000000,-178.000000,969.480789
15729.922324,46860.188285,-88.715602,-958.000000,-183.000000,975.321998
15739.921600,46702.645312,-88.634241,-962.000000,-184.000000,979.438615
15749.920875,46927.647649,-88.521649,-957.000000,-186.000000,974.907688
15759.920150,46746.064093,-88.919730,-960.000000,-179.000000,976.545442
15769.919425,46770.970398,-88.440568,-961.000000,-186.000000,978.834511
15779.918700,47356.601180,-88.421494,-949.000000,-186.000000,967.055841
15789.917976,47018.382237,-88.498414,-954.000000,-189.000000,972.541516
15799.917251,46849.475948,-88.957002,-959.000000,-178.000000,975.379413
