Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
4999.981329,377047.470821,72.578081,25.000000,-7.000000,25.961510
5009.980604,411855.361672,73.605485,23.000000,-6.000000,23.769729
5019.979879,474721.280456,74.201275,20.000000,-5.000000,20.615528
5029.979154,491332.022334,70.694941,19.000000,-6.000000,19.924859
5039.978430,691873.546972,80.118762,14.000000,-2.000000,14.142136
5049.977705,959256.964049,76.944428,10.000000,-2.000000,10.198039
5059.976980,1087271.962752,88.272453,9.000000,0.000000,9.000000
5069.976255,1608229.679711,78.803747,6.000000,-1.000000,6.082763
5079.975531,3261149.524665,88.272100,3.000000,0.000000,3.000000
5089.974806,6917900.331748,133.283808,1.000000,1.000000,1.414214
5099.974081,6917172.399182,-46.710513,-1.000000,-1.000000,1.414214
5109.973356,1630544.915733,268.307223,-6.000000,0.000000,6.000000
5119.972631,1356247.204889,234.663484,-6.000000,4.000000,7.211103
5129.971907,743953.495501,-82.928710,-13.000000,-2.000000,13.152946
5139.971182,683430.746576,-79.591821,-14.000000,-3.000000,14.317821
5149.970457,560356.716013,-78.440033,-17.000000,-4.000000,17.464249
5159.969732,566954.403195,-81.660699,-17.000000,-3.000000,17.262677
5169.969007,433983.750703,-78.857881,-22.000000,-5.000000,22.561028
5179.968283,377101.337040,-76.020071,-25.000000,-7.000000,25.961510
5189.967558,355900.628822,-72.568486,-26.000000,-9.000000,27.513633
5199.966833,289468.841985,-72.667673,-32.000000,-11.000000,33.837849
5209.966108,317326.437924,-66.750684,-28.000000,-13.000000,30.870698
5219.965383,288171.189398,-67.344047,-31.000000,-14.000000,34.014703
5229.964659,280893.458019,-64.361218,-31.000000,-16.000000,34.885527
5239.963934,251943.077696,-65.759447,-35.000000,-17.000000,38.910153
5249.963209,243714.459867,-56.813995,-33.000000,-23.000000,40.224371
5259.962484,227782.364814,-60.947651,-37.000000,-22.000000,43.046487
5269.961759,217055.892932,-63.942611,-40.000000,-21.000000,45.177428
5279.961035,205654.651483,-58.664079,-40.000000,-26.000000,47.707442
5289.960310,198582.409522,-55.745834,-40.000000,-29.000000,49.406477
5299.959585,201979.455030,-55.058807,-39.000000,-29.000000,48.600412
5309.958860,184335.310022,-52.036401,-41.000000,-34.000000,53.263496
5319.958135,187064.327899,-51.356854,-40.000000,-34.000000,52.497619
5329.957411,167348.970101,-47.405487,-42.000000,-41.000000,58.694122
5339.956686,175822.626425,-47.457925,-40.000000,-39.000000,55.865911
5349.955961,163430.029312,-46.058488,-42.000000,-43.000000,60.108236
5359.955236,161434.587409,-44.097956,-41.000000,-45.000000,60.876925
5369.954512,155433.414565,-40.997564,-40.000000,-49.000000,63.253458
5379.953787,153119.987169,-39.183252,-39.000000,-51.000000,64.202804
5389.953062,146348.955681,-38.323497,-40.000000,-54.000000,67.201190
5399.952337,152169.599078,-36.719684,-37.000000,-53.000000,64.637450
